id;faculty;specialty;specialization;start_year;end_year
1;neural platforms;Steel morph;productize;60151;56013
2;Dynamic Fantastic;open-source Wooden Devolved;digital Spain;23586;10710
3;software;Regional Australia;Branding grey Frozen;32055;45353
4;plum Island engage;calculating;FTP;66405;31199
5;Andorra;Facilitator;Plaza Vermont Berkshire;37065;74713
6;Berkshire Security;Virtual;communities;19224;88390
7;drive;Metal Awesome Cotton Bike Movies;Home Loan Account hybrid;58442;52931
8;PNG;Avon Analyst;24/7 Officer;96304;50093
9;Drive Incredible Metal Towels payment;XML Administrator secured line;Romania strategic;98964;3660
10;content Ball;Money Market Account;navigate;70892;12039
