id;responsibility_nm;start_dt;end_dt
1;engineer protocol;2020-11-06T23:01:38;2020-11-07T04:29:04
2;scalable Personal Loan Account;2020-11-06T15:24:48;2020-11-06T18:09:09
3;Sports Chicken;2020-11-06T15:17:36;2020-11-06T11:22:40
4;auxiliary;2020-11-06T10:22:54;2020-11-06T12:16:34
5;hacking;2020-11-06T22:37:50;2020-11-07T05:30:43
6;Soap;2020-11-06T09:55:18;2020-11-06T11:40:15
7;panel;2020-11-07T01:35:43;2020-11-07T06:32:46
8;olive;2020-11-07T03:35:16;2020-11-06T19:52:07
9;plug-and-play hard drive;2020-11-07T06:24:02;2020-11-06T22:08:16
10;Bedfordshire;2020-11-07T06:50:34;2020-11-07T06:44:04
