id;project_nm;company_nm;start_dt;end_dt
1;contextually-based Home Loan Account Books;Stand-alone;2020-11-06T17:03:31;2020-11-06T23:29:09
2;Refined Frozen Table Infrastructure;Assimilated Center;2020-11-06T10:24:25;2020-11-06T16:01:52
3;Kansas utilize;Checking Account Engineer;2020-11-06T12:15:21;2020-11-07T00:14:45
4;system e-services Soft;Senior Junctions Assistant;2020-11-07T05:32:13;2020-11-07T05:59:52
5;Investment Account;world-class digital;2020-11-06T14:15:58;2020-11-06T12:30:10
6;Berkshire Alley revolutionary;robust solution;2020-11-07T07:14:41;2020-11-06T14:40:18
7;Beauty index Enhanced;Prairie;2020-11-06T10:44:40;2020-11-07T07:58:00
8;copying Fresh Corners;Buckinghamshire Azerbaijanian Manat;2020-11-06T22:04:01;2020-11-06T11:01:08
9;open-source;Kwacha multi-byte;2020-11-06T13:40:57;2020-11-07T00:31:51
10;Intelligent Radial Specialist;Fiji Dollar;2020-11-06T20:21:30;2020-11-06T11:30:28
